Dish Name,Cuisine Type,Channels,KunFoods Video,KunFoods Link,FoodfusionPk Video,FoodfusionPk Link
Smoky Double Mirch Qeema with Lifafa Paratha Recipe,Indian/Pakistani,1 channel,-,-,Smoky Double Mirch Qeema with Lifafa Paratha Recipe By Food Fusion,https://www.youtube.com/watch?v=EYW0twxisPs
Smoky Keema Biryani Recipe By Food Fusion (Bakra Eid Special),Indian/Pakistani,1 channel,-,-,Smoky Keema Biryani Recipe By Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=ZANk1mpUOIY
Smoky Masala Drumsticks Recipe By Food Fusion (Ramazan Special),Indian/Pakistani,1 channel,-,-,Smoky Masala Drumsticks Recipe By Food Fusion (Ramazan Special),https://www.youtube.com/watch?v=ogEZt3mcz54
Smoky Tandoori Chicken Recipe,Indian/Pakistani,1 channel,-,-,Smoky Tandoori Chicken Recipe By Food Fusion,https://www.youtube.com/watch?v=--LP7lSUOJk
Smoky Yogurt Chicken Recipe By Food Fusion (Ramzan Special Recipe),Indian/Pakistani,1 channel,-,-,Smoky Yogurt Chicken Recipe By Food Fusion (Ramzan Special Recipe),https://www.youtube.com/watch?v=L7e9LCA0Wq0
Smoothies 2 ways Recipe,Indian/Pakistani,1 channel,-,-,Smoothies 2 ways Recipe By Food Fusion,https://www.youtube.com/watch?v=5cIujSVN7EA
Sobat (Painda) || Traditional Delicacy of Dera Ismail Khan,Indian/Pakistani,1 channel,Sobat (Painda) || Traditional Delicacy of Dera Ismail Khan,https://www.youtube.com/watch?v=mP6Az6bTOY4,-,-
Sofiyani (white) Biryani Recipe,Indian/Pakistani,1 channel,-,-,Sofiyani (white) Biryani Recipe By Food Fusion,https://www.youtube.com/watch?v=ZX3y9odsAcw
Soft & Fluffy Donuts Recipe,Continental,1 channel,-,-,Soft & Fluffy Donuts Recipe by Food Fusion,https://www.youtube.com/watch?v=0i86UpyST_E
Soft and Fluffy Coconut Buns Recipe,Indian/Pakistani,1 channel,-,-,Soft and Fluffy Coconut Buns Recipe by Food Fusion,https://www.youtube.com/watch?v=4Kz9aoTDnHc
Soft Bread in Pan (Without Oven) Recipe,Indian/Pakistani,1 channel,-,-,Soft Bread in Pan (Without Oven) Recipe by Food Fusion,https://www.youtube.com/watch?v=gOQiGPH5aWY
Soft French Toast & Vanilla Cream Sauce Recipe With Sarwat Gillani,Indian/Pakistani,1 channel,-,-,Soft French Toast & Vanilla Cream Sauce Recipe With Sarwat Gillani | Food Fusion,https://www.youtube.com/watch?v=zKKWPBe7B2c
Sohan e Qom (Persian Saffron Brittle) Recipe,Indian/Pakistani,1 channel,-,-,Sohan e Qom (Persian Saffron Brittle) Recipe By Food Fusion,https://www.youtube.com/watch?v=_-64_OH6Fzg
Sooji & Anday ka Chilla Recipe By Food Fusion (Ramadan Special),Indian/Pakistani,1 channel,-,-,Sooji & Anday ka Chilla Recipe By Food Fusion (Ramadan Special),https://www.youtube.com/watch?v=YohKkg-qMic
Sooji Besan Halwa Recipe,Indian/Pakistani,1 channel,-,-,Sooji Besan Halwa Recipe By Food Fusion,https://www.youtube.com/watch?v=j5Q1D_u7i90
Sooji Halwa Cups Surprise Recipe  By Food Fusion (Eid Special Recipe),Indian/Pakistani,1 channel,-,-,Sooji Halwa Cups Surprise Recipe  By Food Fusion (Eid Special Recipe),https://www.youtube.com/watch?v=K4ODu3WupP8
Sooji Halwa Recipes,Indian/Pakistani,1 channel,-,-,4 Delicious Sooji Halwa Recipes by Food Fusion,https://www.youtube.com/watch?v=yfZy_lmkTzU
Sooji ka tukri/karak halwa Recipe,Indian/Pakistani,1 channel,-,-,Sooji ka tukri/karak halwa Recipe By Food Fusion,https://www.youtube.com/watch?v=7eJDGvF68-s
Sooji Ki Barfi Recipe,Indian/Pakistani,1 channel,-,-,Sooji Ki Barfi Recipe By Food Fusion,https://www.youtube.com/watch?v=4rpRlo9OS-g
Sooji Roat Recipe,Indian/Pakistani,1 channel,-,-,Sooji Roat Recipe by Food Fusion,https://www.youtube.com/watch?v=V8EpsUmTnDk
Sooji Tahini Halwa Recipe,Indian/Pakistani,1 channel,-,-,Sooji Tahini Halwa Recipe By Food Fusion,https://www.youtube.com/watch?v=V12SHqPtURU
Sooji Veg Pancakes Recipe,Indian/Pakistani,1 channel,-,-,Sooji Veg Pancakes Recipe by Food Fusion,https://www.youtube.com/watch?v=RZB7nPSheGc
Soufflé Brownie Recipe,Continental,1 channel,-,-,Soufflé Brownie Recipe by Food Fusion,https://www.youtube.com/watch?v=BvzE31xaOaY
Soupy Dumplings Recipe,Indian/Pakistani,1 channel,-,-,Soupy Dumplings Recipe By Food Fusion,https://www.youtube.com/watch?v=SJbBe2kNWIY
Southern Fried Chicken Recipe,Indian/Pakistani,1 channel,-,-,Southern Fried Chicken Recipe By Food Fusion,https://www.youtube.com/watch?v=GROE3xH2yuE
Southern Style Baked Macaroni & Cheese Recipe,Continental,1 channel,-,-,Southern Style Baked Macaroni & Cheese Recipe By Food Fusion,https://www.youtube.com/watch?v=jENjWNk58_c
Spaghetti Aglio Olio With Grilled Chicken Recipe,Continental,1 channel,-,-,Spaghetti Aglio Olio With Grilled Chicken Recipe By Food Fusion,https://www.youtube.com/watch?v=usFyF1HOGQI
Spaghetti and Meatballs Recipe,Continental,1 channel,-,-,Spaghetti and Meatballs Recipe by Food Fusion,https://www.youtube.com/watch?v=sHVFVQ1zOqI
Spaghetti Recipes,Continental,1 channel,-,-,4 Amazing Spaghetti Recipes By Food Fusion,https://www.youtube.com/watch?v=yscvNu9rxXg
Spaghetti with Tomato Cream Sauce Recipe,Continental,1 channel,-,-,Spaghetti with Tomato Cream Sauce Recipe By Food Fusion,https://www.youtube.com/watch?v=QjJFcvZjvHg
Sparkling Grapefruit & Maple Mocktail Recipe,Indian/Pakistani,1 channel,-,-,Sparkling Grapefruit & Maple Mocktail Recipe By Food Fusion,https://www.youtube.com/watch?v=uhyNDLEAGMA
Special BBQ Chicken Biryani,Indian/Pakistani,1 channel,Special BBQ Chicken Biryani Recipe,https://www.youtube.com/watch?v=AsilxXC9LcQ,-,-
Special BBQ Chicken Biryani Recipe,Indian/Pakistani,1 channel,-,-,Special BBQ Chicken Biryani Recipe By Food Fusion,https://www.youtube.com/watch?v=oQds-YzOyFg
Special Beef Bong Paye,Indian/Pakistani,1 channel,-,-,Special Beef Bong Paye - Bakra Eid Special Recipe by Food Fusion,https://www.youtube.com/watch?v=VDMLnqbvvSc
Special Beef Burger with Signature Mustard Sauce Recipe By Food Fusion (Bakra Eid Special),Continental,1 channel,-,-,Special Beef Burger with Signature Mustard Sauce Recipe By Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=uEzBR5NL4XA
Special Bun kabab Karachi Style By Food Fusion ( Ramzan Special),Indian/Pakistani,1 channel,-,-,Special Bun kabab Karachi Style By Food Fusion ( Ramzan Special),https://www.youtube.com/watch?v=TuEY0NZBspo
Special Chana Chaat with Potato Chops Recipe By Food Fusion (Ramazan Special Recipe),Indian/Pakistani,1 channel,-,-,Special Chana Chaat with Potato Chops Recipe By Food Fusion (Ramazan Special Recipe),https://www.youtube.com/watch?v=kzAeKjGy1Co
Special Chapli Kofta Pulao Recipe,Indian/Pakistani,1 channel,-,-,Special Chapli Kofta Pulao Recipe By Food Fusion,https://www.youtube.com/watch?v=9teZjjlLY-w
Special Chatkhara Biryani Recipe by Asad Memon,Indian/Pakistani,1 channel,-,-,Special Chatkhara Biryani Recipe by Asad Memon-Food Fusion,https://www.youtube.com/watch?v=G8kzjhoiJl8
Special Chicken Shawarma with sauces Recipe at Home,Arabic/Mediterranean,1 channel,Special Chicken Shawarma with sauces Recipe at Home,https://www.youtube.com/watch?v=rd_56ytV5TI,-,-
Special Chicken White Karahi Recipe,Indian/Pakistani,1 channel,-,-,Special Chicken White Karahi Recipe by Food Fusion,https://www.youtube.com/watch?v=PJ_A6xxm-EY
Special Chilli Chips Chaat Recipe By Food Fusion (Iftar Ideas 2022),Indian/Pakistani,1 channel,-,-,Special Chilli Chips Chaat Recipe By Food Fusion (Iftar Ideas 2022),https://www.youtube.com/watch?v=HhuvnhsRxVg
Special Chutney Pulao Recipe By Food Fusion (Eid Special Recipe),Indian/Pakistani,1 channel,-,-,Special Chutney Pulao Recipe By Food Fusion (Eid Special Recipe),https://www.youtube.com/watch?v=_Lax7z2jJDA
Special Cream Fruit Chaat Ramadan Special Recipe,Indian/Pakistani,1 channel,-,-,Special Cream Fruit Chaat Ramadan Special Recipe by Food Fusion,https://www.youtube.com/watch?v=1ggycx9NQzM
Special Crispy Broast Recipe By Food Fusion (Ramzan Special),Indian/Pakistani,1 channel,-,-,Special Crispy Broast Recipe By Food Fusion (Ramzan Special),https://www.youtube.com/watch?v=89IgIHkMhPU
Special Custard Trifle Recipe By Food Fusion (Ramadan Special Recipe),Indian/Pakistani,1 channel,-,-,Special Custard Trifle Recipe By Food Fusion (Ramadan Special Recipe),https://www.youtube.com/watch?v=RtQAcQ-QUzw
Special Daal with Achari Mirch Tadka Recipe,Indian/Pakistani,1 channel,-,-,Special Daal with Achari Mirch Tadka Recipe by Food Fusion,https://www.youtube.com/watch?v=TkTTTZksXd4
Special dahi chana chaat & chana storage method By Food Fusion  (Ramzan Special Recipe),Indian/Pakistani,1 channel,-,-,Special dahi chana chaat & chana storage method By Food Fusion  (Ramzan Special Recipe),https://www.youtube.com/watch?v=KV3Nt3iAoY0
Special Dahi Gosht Ramadan Special Recipe,Indian/Pakistani,1 channel,-,-,Special Dahi Gosht Ramadan Special Recipe by Food Fusion,https://www.youtube.com/watch?v=ujX_ZFbnQCU
Special Degi Aloo Koftay Recipe,Indian/Pakistani,1 channel,-,-,Special Degi Aloo Koftay Recipe by Food Fusion,https://www.youtube.com/watch?v=p9gxW0Qk-3k
Special Degi Biryani & White Biryani Recipes,Indian/Pakistani,1 channel,-,-,Special Degi Biryani & White Biryani Recipes By Food Fusion,https://www.youtube.com/watch?v=zwfTy8E5i4U
Special Degi Biryani Recipe,Indian/Pakistani,1 channel,-,-,Special Degi Biryani Recipe By Food Fusion,https://www.youtube.com/watch?v=KHokeeD7RIc
Special Desi Desserts 2022,Indian/Pakistani,1 channel,-,-,Special Desi Desserts 2022 Food Fusion,https://www.youtube.com/watch?v=LADtoFI5-g8
Special Fry kabab Recipe,Indian/Pakistani,1 channel,-,-,Special Fry kabab Recipe by Food Fusion,https://www.youtube.com/watch?v=VCji3M9RdZE
Special Kheer & Puri Paratha Recipe,Indian/Pakistani,1 channel,-,-,Special Kheer & Puri Paratha Recipe by Food Fusion,https://www.youtube.com/watch?v=P_xppzp4w4Y
Special Lachay dar Anda Paratha  Recipe,Indian/Pakistani,1 channel,-,-,Special Lachay dar Anda Paratha  Recipe By Food fusion,https://www.youtube.com/watch?v=uO8fwpzzp0g
Special Lachha Poori Paratha,Indian/Pakistani,1 channel,Special Lachha Poori Paratha - Learn to make commercial multilayer puri paratha,https://www.youtube.com/watch?v=TMgSyUoyRGE,-,-
SPECIAL LAHORI KEEMA,Indian/Pakistani,1 channel,SPECIAL LAHORI KEEMA RECIPE,https://www.youtube.com/watch?v=JiAijZpqxyA,-,-
Special Masoor,Indian/Pakistani,1 channel,Special Masoor Recipe - Perfect Water Ratio Recipe - Creamy Masoor,https://www.youtube.com/watch?v=h-1H4PkU9fE,-,-
Special Meethi Tikiyan with Pista Badam Recipe,Indian/Pakistani,1 channel,-,-,Special Meethi Tikiyan with Pista Badam Recipe By Food Fusion,https://www.youtube.com/watch?v=itIRf44sxfE
Special Mutton Dhaba Karahi Recipe By Food Fusion (Bakra Eid Special),Indian/Pakistani,1 channel,-,-,Special Mutton Dhaba Karahi Recipe By Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=5BaFJviHJZ4
Special Mutton Malai Handi Recipe By Food Fusion (Bakra Eid Special),Indian/Pakistani,1 channel,-,-,Special Mutton Malai Handi Recipe By Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=9eq6LO-kTN8
