Video Title,Dish Name,YouTube Link,Cuisine Type
Afghani Namkeen Pyaz Gosht - Perfect 2kg Easy Rosh Recipe,Afghani Namkeen Pyaz Gosht,https://www.youtube.com/watch?v=kiRgrfJwTwE,Pakistani
Breakfast Dal Kachori  - Best Recipe for Sunday Brunch,Breakfast Dal Kachori,https://www.youtube.com/watch?v=SlUtoZAg6Ig,Pakistani
Natural Medicine for Back Pain and Knee Pain Without Ghee or Oil,Natural Medicine for Back Pain and Knee Pain Without Ghee or Oil,https://www.youtube.com/watch?v=FeoR2pHFsjE,Pakistani
Malai Boti BBQ Restaurant Style - Perfect Measurements,Malai Boti BBQ Restaurant Style,https://www.youtube.com/watch?v=XxC6Cz0IFVU,Pakistani
Chinese Fried Rice Shadiyon Walay - Pakistani Marriage Food -1,Chinese Fried Rice Shadiyon Walay,https://www.youtube.com/watch?v=JI6E4IdpMnE,Chinese
Authentic Fish Fry Besan Wali - Original Lahori Style Fish Fry,Authentic Fish Fry Besan Wali,https://www.youtube.com/watch?v=r_TvYhLkBNw,Pakistani
1kg Authentic Chicken Korma Recipe - Original Karachi Style Recipe,Authentic Chicken Korma,https://www.youtube.com/watch?v=qRW-dZK4CGI,Pakistani
Khushbudar Matar Pulao - Low cost veg white pulao recipe,Khushbudar Matar Pulao,https://www.youtube.com/watch?v=6o5w7-21dmU,Pakistani
Beef Paya Recipe - Baray Paye Lahori Style,Beef Paya,https://www.youtube.com/watch?v=GENqA9m1-tE,Pakistani
19B Soup Commercial Style with Real Sauces,19B Soup Commercial Style with Real Sauces,https://www.youtube.com/watch?v=AJZZZ88nQMI,Pakistani
Lahori Nashtay Walay Chanay,Lahori Nashtay Walay Chanay,https://www.youtube.com/watch?v=fN2ygK7yPnA,Pakistani
Afghani Kabuli Pulao Recipe - National Dish of Afghanistan,Afghani Kabuli Pulao,https://www.youtube.com/watch?v=UuQXKkHBw5M,Pakistani
Donuts Better than Bakery - Step by Step Guide,Donuts Better than Bakery,https://www.youtube.com/watch?v=4aacbRlOEBA,Pakistani
Chicken Reshmi Kabab - Soft and Juicy Kabab Recipe,Chicken Reshmi Kabab,https://www.youtube.com/watch?v=jRWvGCDbDK0,Pakistani
Restaurant Style Mutton Steam Roast in Pressure Cooker - Soft and Tender Mutton Pieces,Restaurant Style Mutton Steam Roast in Pressure Cooker,https://www.youtube.com/watch?v=ySBurP-gaHE,Pakistani
Chicken Cheese Handi Restaurant Style - Dinner Idea,Chicken Cheese Handi Restaurant Style,https://www.youtube.com/watch?v=j5qriSWV99A,Pakistani
"Muradabadi Chicken Biryani - Easy, Tasty and ONE POT CHICKEN BIRYANI",Muradabadi Chicken Biryani,https://www.youtube.com/watch?v=gu2XjwHI2Ww,Pakistani
Laddu Peethi Complete Recipe with Chutneys - Step By Step for Beginners,Laddu Peethi Complete Recipe with Chutneys,https://www.youtube.com/watch?v=jZP64_e7DC8,Pakistani
Catering walay Chinese Rice - Chicken and Vegetable Fried Rice Recipe,Catering walay Chinese Rice,https://www.youtube.com/watch?v=9pZDgCjG92U,Chinese
Simple and Delicious Khandwiyon ka Salan - Tension- Free Dhokli Recipe,Simple and Delicious Khandwiyon ka Salan,https://www.youtube.com/watch?v=ZxfeJb_Ny2Y,Pakistani
Koozi Haleem or Daleem - Delicacy of Multani Degi Haleem,Koozi Haleem or Daleem,https://www.youtube.com/watch?v=EDG2dJfD8L8,Pakistani
Chicken Fry Recipe | Restaurant Naan Broast with Secret Spices,Chicken Fry,https://www.youtube.com/watch?v=AI1gdG_GY9o,Pakistani
Special Lachha Poori Paratha - Learn to make commercial multilayer puri paratha,Special Lachha Poori Paratha,https://www.youtube.com/watch?v=TMgSyUoyRGE,Pakistani
Barsati Pura - آٹے اور شکر سے بنے  میٹھے پوڑے - Sweet Atta Recipe,Barsati Pura,https://www.youtube.com/watch?v=YvCXNpv32c0,Pakistani
Pizza Puffs Recipe- Pizza Parcel Snacks for Rainy Day,Pizza Puffs Recipe- Pizza Parcel Snacks for Rainy Day,https://www.youtube.com/watch?v=iUR4juCQAcw,Continental
Chicken Malai Handi Recipe | Murgh Malai Curry Restaurant Style,Chicken Malai Handi,https://www.youtube.com/watch?v=3sQqsg9jeMY,Pakistani
Pani with Beef Kebab - Very Soft Beef Kabab Recipe,Pani with Beef Kebab,https://www.youtube.com/watch?v=R7ge7jEV948,Pakistani
Lahori Chikar Cholay - Oil/Ghee is not used in this Lahori chanay recipe,Lahori Chikar Cholay,https://www.youtube.com/watch?v=fEccCgf7tks,Pakistani
Easy Green Beans Sabzi Recipe for Lunch - Daily Routine Sabzi Recipe,Easy Green Beans Sabzi Recipe for Lunch,https://www.youtube.com/watch?v=fXJkjIk6Z1E,Pakistani
"Kali Mirch Mutton Karahi, Black Pepper Mutton Gravy by Kun Foods","Kali Mirch Mutton Karahi, Black Pepper Mutton Gravy",https://www.youtube.com/watch?v=6N_wKdkPZOo,Pakistani
Crispy Chicken Burger Patty -  Frozen Food for Lunch Box (Commercial Recipe),Crispy Chicken Burger Patty,https://www.youtube.com/watch?v=-12dhMquPY0,Continental
Goat Cutting Skills | How to store meat properly (full Guide),Goat Cutting Skills,https://www.youtube.com/watch?v=dRHGNU6-rzs,Pakistani
Best Family Dinner Recipe | Chicken Pasta Casserole Recipe,Best Family Dinner,https://www.youtube.com/watch?v=yRjohOuIMGU,Continental
Masala Boti Kabab Recipe | Fry Boti Kabab Bakra Eid Special Recipe,Masala Boti Kabab,https://www.youtube.com/watch?v=qbc1X3fGMDE,Pakistani
Real Mutton Koftay - Special Original Koftay (make and store),Real Mutton Koftay,https://www.youtube.com/watch?v=6lER9AITv-g,Pakistani
Charsi karahi without oil,Charsi karahi without oil,https://www.youtube.com/watch?v=kVd5syaohok,Pakistani
Mutton Karahi - Professional Recipe Guide for Beginners,Mutton Karahi,https://www.youtube.com/watch?v=4Fld8HquzQ4,Pakistani
Chapli Kabab - Recipe for Life | Step By Step Guide,Chapli Kabab,https://www.youtube.com/watch?v=ZevdQI7u3Wo,Pakistani
Pasanday - Mughlai Steaks Gravy from History,Pasanday,https://www.youtube.com/watch?v=MOoz_BPz3XQ,Pakistani
Hyderabadi Degi Chana Pulao,Hyderabadi Degi Chana Pulao,https://www.youtube.com/watch?v=6c0NUYs2ThU,Indian
Afghani Roti homemade on tawa,Afghani Roti homemade on tawa,https://www.youtube.com/watch?v=FP4ejCrub2Y,Pakistani
Keema Karelay - Bitter Gourd with Mince,Keema Karelay,https://www.youtube.com/watch?v=QgghVu5wLro,Pakistani
Black Pepper Chicken Pyaz Gravy - Simple yet delicious,Black Pepper Chicken Pyaz Gravy,https://www.youtube.com/watch?v=bc0fe_oBRPA,Pakistani
Special Masoor Recipe - Perfect Water Ratio Recipe - Creamy Masoor,Special Masoor,https://www.youtube.com/watch?v=h-1H4PkU9fE,Pakistani
Masala Tori Sabzi - Restaurant Style Tori Recipe,Masala Tori Sabzi,https://www.youtube.com/watch?v=pP6jiyg6Vc0,Pakistani
Mutton Kunna 1kg Perfect Recipe - Authentic Chinioti Delicacy,Mutton Kunna 1kg Perfect,https://www.youtube.com/watch?v=YaGzC1TnGMk,Pakistani
Best Hyderabadi Chicken Degi Pulao,Best Hyderabadi Chicken Degi Pulao,https://www.youtube.com/watch?v=x1avGYUJgnU,Indian
Lemon Pepper Chicken - Chicken in Black Pepper Gravy,Lemon Pepper Chicken,https://www.youtube.com/watch?v=FjSPvFAWNTo,Pakistani
Sukhi Aloo ki Sabzi aur Tarka Dahi - Best for Breakfast,Sukhi Aloo ki Sabzi aur Tarka Dahi,https://www.youtube.com/watch?v=kWm5AQdgOWg,Pakistani
Best Hyderabadi Yakhni Pulao for Eid,Best Hyderabadi Yakhni Pulao for Eid,https://www.youtube.com/watch?v=BfLR48NxxLg,Indian
Kemami Seviyan for Eid Dessert,Kemami Seviyan for Eid Dessert,https://www.youtube.com/watch?v=GmkcFXcV19U,Pakistani
Best Sheer Khurma for Eid,Best Sheer Khurma for Eid,https://www.youtube.com/watch?v=Tx69OPHuKXk,Pakistani
Malai Chicken Bread Pockets - Creamy Bread Pockets Ramzan Special,Malai Chicken Bread Pockets,https://www.youtube.com/watch?v=J1w8slXr8tk,Pakistani
Simple Vegetable Pulao with Black Pepper - Ramzan Special,Simple Vegetable Pulao with Black Pepper,https://www.youtube.com/watch?v=vs381q6MBDs,Pakistani
Real Crispy Aloo Tikki - Special Street Style Aloo Tikki,Real Crispy Aloo Tikki,https://www.youtube.com/watch?v=5l9ywrDymc4,Pakistani
Ramzan Special Snacks Recipe - Chicken Pizza Cones Iftar Special,Ramzan Special Snacks,https://www.youtube.com/watch?v=lyIn8htmAgQ,Continental
Besan wali Chips at Home - Crispy Aloo Fries Make and Freeze - Frozem Potato Fries,Besan wali Chips at Home,https://www.youtube.com/watch?v=rOg7zPXAytM,Pakistani
"Bazar Wali Chicken Kachori - No Kneading, No Rolling Effortless Kachori for Iftar",Bazar Wali Chicken Kachori,https://www.youtube.com/watch?v=ZW6j3gSi6Io,Pakistani
Chana Chat Platter - Spicy and Khatti Meethi Chana Chaat Ramzan Special,Chana Chat Platter,https://www.youtube.com/watch?v=ch1NWHjMHeE,Pakistani
Pakoriyan - Crispy Crunchy Dahi wali Phulkiyan - Step by step recipe for beginners,Pakoriyan,https://www.youtube.com/watch?v=BFBrkiIGG4U,Pakistani
"Aloo Bukharay ki Chutney Recipe - Ramzan Special Chutney for dahi bhallay, chaat",Aloo Bukharay ki Chutney,https://www.youtube.com/watch?v=lUdIYwQUteU,Pakistani
Best Bhalla Recipe | Soft Puffy and Round Dahi Bhallay | Recipe for Lifetime,Best Bhalla,https://www.youtube.com/watch?v=VNpXW6ZiOE8,Pakistani
Chaat Wali Papri Recipe | Bazar Jesi Papri Ghar Py Bnaen aur Store Karen,Chaat Wali Papri,https://www.youtube.com/watch?v=_ZNczv1HdEY,Pakistani
Aloo Samosay Recipe | Easy Step by Step Crispy Potato Samosa (Better),Aloo Samosay,https://www.youtube.com/watch?v=f3rUoH0F_vA,Pakistani
Khatti Meethi Imli ki Chutney - Ramzan Special Chutney for Chaat,Khatti Meethi Imli ki Chutney,https://www.youtube.com/watch?v=7G0aitOarvY,Pakistani
Namkeen Gosht Recipe | Rosh Style Traditional Oil Free Meat,Namkeen Gosht,https://www.youtube.com/watch?v=8BBu8pZY_5c,Pakistani
Kathiawari Cholay Authentic Karachi Style Recipe Ramzan Special,Kathiawari Cholay Authentic Karachi Style Recipe Ramzan Special,https://www.youtube.com/watch?v=no5f0Lx-_yc,Pakistani
Creamy White Chicken Recipe - Easy Chicken Recipe,Creamy White Chicken,https://www.youtube.com/watch?v=NB5AlM45u3I,Pakistani
Chicken Dry Masala with Tandoori Lacha Paratha,Chicken Dry Masala with Tandoori Lacha Paratha,https://www.youtube.com/watch?v=vFQCGIgZtaU,Pakistani
Keema Burger Recipe - Street Style Beef Burger with Sauces,Keema Burger,https://www.youtube.com/watch?v=VRje3fclqsQ,Continental
Best Dal Chawal Street Style - Sunday Special Daal Chawal,Best Dal Chawal Street Style,https://www.youtube.com/watch?v=9fNOl13iHB8,Pakistani
Aloo Matar Pulao - Winter Special Matar Pulao,Aloo Matar Pulao,https://www.youtube.com/watch?v=DaDnqsLUptg,Pakistani
Muradabadi Yakhni Pulao | The Ultimate Taste of Muradabad India,Muradabadi Yakhni Pulao,https://www.youtube.com/watch?v=V33meUkmME0,Pakistani
Malai Halwa Recipe - New Style Halwa Better than Halwai (No Suji),Malai Halwa,https://www.youtube.com/watch?v=t3d4z59kSag,Pakistani
Unique Breakfast Recipe | Healthy Breakfast - Also Good for Diabetics,Unique Breakfast,https://www.youtube.com/watch?v=yFZ0QhF-uUM,Pakistani
Pressure Cooker Pulao - Chatkhara Masalaydar Pulao in Pressure Cooker,Pressure Cooker Pulao,https://www.youtube.com/watch?v=FhVkq82yzwg,Pakistani
10kg Mutton Korma Gravy Shadiyon Wali,Mutton Korma Gravy Shadiyon Wali,https://www.youtube.com/watch?v=VST4ET8T-_k,Pakistani
Thellay Wala Chicken Soup Recipe - Lahori Winter Street Soup Recipe,Thellay Wala Chicken Soup,https://www.youtube.com/watch?v=XevgvgLJZlI,Pakistani
Multani Sohan Halwa Secret Recipe - Halwai Style Juicy Sohan Halwa with Secret Ingredients,Multani Sohan Halwa Secret,https://www.youtube.com/watch?v=JFBqoikf_do,Pakistani
Black Pepper Chicken Karahi - Best with Tandori Roti,Black Pepper Chicken Karahi,https://www.youtube.com/watch?v=dk3CZ4QzCOo,Pakistani
Street Style Fish Fry Pakora Recipe with Secret Fry Masala,Street Style Fish Fry Pakora Recipe with Secret Fry Masala,https://www.youtube.com/watch?v=5j5VREgTi7k,Pakistani
"Green Chili Matar Pulao - No Onion No Tomato , Easy and Magical Recipe",Green Chili Matar Pulao,https://www.youtube.com/watch?v=FBS_i5c1K4Y,Pakistani
Green Chili Aloo Katliyan - Quick and Magical For Breakfast,Green Chili Aloo Katliyan,https://www.youtube.com/watch?v=HlklhpM4M8U,Pakistani
Traditional Remedy for Cough and Flu - Desi Style Chicken Soup for Winters,Traditional Remedy for Cough and Flu,https://www.youtube.com/watch?v=5HByFOVnqkY,Pakistani
Shawarma Sandwich/ Creamy Pizza Sandwich by Kun Foods,Shawarma Sandwich/ Creamy Pizza Sandwich,https://www.youtube.com/watch?v=Wblo-Ykcw9w,Arabic/Mediterranean
Dawat Special Chicken Steam Roast - Tandoori Choocha Steam,Dawat Special Chicken Steam Roast,https://www.youtube.com/watch?v=9vZBVlWt0Pc,Pakistani
Mirchi Chicken Karahi -Green Chili Dinner Idea Recipe,Mirchi Chicken Karahi -Green Chili Dinner Idea,https://www.youtube.com/watch?v=UMbCbYTkzzA,Pakistani
1kg Perfect Aloo Keema Recipe - Dhaba Style Gravy wala keema,Perfect Aloo Keema,https://www.youtube.com/watch?v=J10IGN5lSSc,Pakistani
Creamy Pasta with Chicken Steak - Restaurant Style Recipe for Lifetime,Creamy Pasta with Chicken Steak,https://www.youtube.com/watch?v=wPgFuZEs5ks,Continental
Malai Kabab Handi - Homemade Restaurant Style Seekh and Kabab Handi,Malai Kabab Handi,https://www.youtube.com/watch?v=KwoujOZNOus,Pakistani
Tortilla Wraps Recipe - Homemade Bread for Chicken and Beef Wraps,Tortilla Wraps,https://www.youtube.com/watch?v=5dq_S7B49gM,Pakistani
Namkeen Chicken Fry - Rosh Style Chicken Namkeen Gravy,Namkeen Chicken Fry,https://www.youtube.com/watch?v=q7nMrO2j_QM,Pakistani
Fry Mirchi Recipe - Dahi Wali Mirchi ka Salan,Fry Mirchi,https://www.youtube.com/watch?v=VZytrDIrBQA,Pakistani
Desi Chicken Fry - Shadiyon wala Chicken Fry in 10mins,Desi Chicken Fry,https://www.youtube.com/watch?v=VGi5TOlx9z0,Pakistani
1kg Degi Chicken Curry - Punjabi Desi Chicken Curry,Degi Chicken Curry,https://www.youtube.com/watch?v=SIrp8SYmdio,Pakistani
Karachi Biryani But Better - The Art of Biryani Making (Updated),Karachi Biryani But Better,https://www.youtube.com/watch?v=OtrM4MClJYI,Pakistani
Best Daal Gosht Recipe,Best Daal Gosht,https://www.youtube.com/watch?v=Xa2hgn-1ghA,Pakistani
Perfect 1kg Karachi Style White Pulao - Authentic White Pulao,Perfect 1kg Karachi Style White Pulao,https://www.youtube.com/watch?v=UWfmlNIJYE8,Pakistani
Kachay Pyaz Ka Keema - Dhaba Style Chatkhara Keema,Kachay Pyaz Ka Keema,https://www.youtube.com/watch?v=BTlibbiCH_4,Pakistani
Breakfast Recipe - Soft and Fluffy Breakfast Pancakes,Breakfast,https://www.youtube.com/watch?v=7PXJ11Ihc5A,Pakistani
1kg Perfect Mutanjan Rice - Soft and Fluffy Sweet Rice Recipe,Perfect Mutanjan Rice,https://www.youtube.com/watch?v=4Nsso8_OiaM,Pakistani
Tikka Boti Easy Way at Home,Tikka Boti Easy Way at Home,https://www.youtube.com/watch?v=bRuH_xd8xtI,Pakistani
1kg Perfect Danedar Korma - Karachi Style Korma Recipe,Perfect Danedar Korma,https://www.youtube.com/watch?v=mzWFL-8K9Kk,Pakistani
1.5 Liter Milk Perfect Kheer Recipe - Peshawari Style Special Rabri Kheer,1.5 Liter Milk Perfect Kheer,https://www.youtube.com/watch?v=-m-HEFI9AoA,Pakistani
Namkeen Pyaz Karahi - Black Pepper Chicken Recipe,Namkeen Pyaz Karahi,https://www.youtube.com/watch?v=475CLgSXfAA,Pakistani
Macaroni Platter - Spicy and White Sauce Macaroni,Macaroni Platter,https://www.youtube.com/watch?v=mdiTnH7C0v4,Continental
